20 1 0.0909679
20 2 0.0458565
20 4 0.0231722
20 8 0.0121217
20 16 0.011966
20 32 0.00699093
20 64 0.00672876
20 128 0.00885934
20 160 0.0100764
24 1 1.45182
24 2 0.732075
24 4 0.369442
24 8 0.19292
24 16 0.182512
24 32 0.108273
24 64 0.0903679
24 128 0.0793936
24 160 0.0820063
28 1 23.2618
28 2 11.8056
28 4 6.01494
28 8 3.10838
28 16 2.12569
28 32 1.64181
28 64 1.37712
28 128 1.06628
28 160 0.967533
30 1 94.2057
30 2 47.6725
30 4 23.9166
30 8 12.2379
30 16 7.48897
30 32 5.7086
30 64 5.03903
30 128 3.49042
30 160 3.20679
