20 1 0.0907079
20 2 0.0457758
20 4 0.0231492
20 8 0.0120976
20 16 0.0119699
20 32 0.00699427
20 64 0.0108729
20 128 0.00836352
20 160 0.00912104
24 1 1.45173
24 2 0.73065
24 4 0.369294
24 8 0.190646
24 16 0.182439
24 32 0.108171
24 64 0.0955949
24 128 0.0825041
24 160 0.082228
28 1 23.2526
28 2 11.9158
28 4 5.98897
28 8 3.10977
28 16 2.07668
28 32 1.62048
28 64 1.34221
28 128 1.00323
28 160 0.867702
30 1 94.1545
30 2 47.9203
30 4 23.9571
30 8 12.3019
30 16 7.42873
30 32 6.11805
30 64 5.02896
30 128 3.30405
30 160 3.18995
