20 1 6.43142
20 2 0.0449463
20 4 0.0226438
20 8 0.0118453
20 16 0.0119336
20 32 0.00770079
20 64 0.00855775
20 128 0.00855809
20 160 0.00994408
24 1 1.42813
24 2 0.718396
24 4 0.360347
24 8 0.189141
24 16 0.165418
24 32 0.108348
24 64 0.0924145
24 128 0.0912186
24 160 0.0819018
28 1 22.8855
28 2 11.5464
28 4 5.82872
28 8 3.06928
28 16 2.06034
28 32 1.64419
28 64 1.34837
28 128 0.980996
28 160 0.908224
30 1 97.2629
30 2 49.1167
30 4 24.6382
30 8 12.7459
30 16 8.06634
30 32 6.15872
30 64 5.11928
30 128 3.38777
30 160 3.28235
